Herat,34.2,62.12,CITY,
Kabul,34.31,69.12,CITY,
Algiers,36.5,3,CITY,
Pago Pago,-14.16,-170.43,CITY,
Andorra la Vella,42.3,1.3,CITY,
Namibe,-15.1,12.09,CITY,
The Valley,18.13,-63.03,CITY,
Buenos Aires,-34.4,-58.3,CITY,
Crdoba,-31.32,-64.21,CITY,
Yerevan,40.1,44.31,CITY,
Oranjestad,12.31,-70.02,CITY,
Adelaide,-34.55,138.35,CITY,
Alice Springs,-23.42,133.53,CITY,
Brisbane,-27.28,153.02,CITY,
Canberra,-35.17,149.08,CITY,
Coober Pedy,-28.56,134.45,CITY,
Darwin,-12.28,130.5,CITY,
Derby,-17.19,123.38,CITY,
Newman,-23.2,119.34,CITY,
Perth,-31.56,115.5,CITY,
Townsville,-19.13,146.48,CITY,
Vienna,48.12,16.22,CITY,
Baku,40.22,49.53,CITY,
Nassau,25.03,-77.29,CITY,
Al-Manamah,26.13,50.34,CITY,
Dhaka,23.43,90.25,CITY,
Bridgetown,13.06,-59.37,CITY,
Minsk,53.51,27.3,CITY,
Brussels,50.5,4.2,CITY,
Belmopan,17.13,-88.48,CITY,
Porto-Novo,6.29,2.37,CITY,
Hamilton,32.18,-64.48,CITY,
Thimphu,27.32,89.43,CITY,
La Paz,-16.3,-68.1,CITY,
Sarajevo,43.51,18.23,CITY,
Gaborone,-24.45,25.55,CITY,
Belm,-1.27,-48.29,CITY,
Braslia,-15.47,-47.55,CITY,
Campinas,-22.54,-47.03,CITY,
Cuiaba,-7.15,-58.25,CITY,
Manaus,-3.06,-60,CITY,
Porto Velho,-8.45,-63.54,CITY,
Recife,-8.06,-34.53,CITY,
Rio de Janeiro,-22.54,-43.14,CITY,
Santarm,-2.26,-54.41,CITY,
So Paulo,-23.32,-46.37,CITY,
Road Town,18.28,-64.39,CITY,
Bandar Seri Begawan,4.53,114.56,CITY,
Sofia,42.4,23.18,CITY,
Ouagadougou,12.22,-1.31,CITY,
Bujumbura,-3.22,29.19,CITY,
Phnom Penh,11.33,104.55,CITY,
Yaound,3.51,11.35,CITY,
Churchill, Manitoba,58.45,-94,CITY
Kugluktuk, Nunavut,67.49,-115.21,CITY
Ottawa,45.25,-75.43,CITY,
Peace River,56.15,-117.18,CITY,
Quebec,46.5,-71.15,CITY,
Saskatoon,52.1,-101.32,CITY,
Toronto,43.39,-79.23,CITY,
Vancouver,49.16,-123.07,CITY,
Whitehorse,60.43,-135.03,CITY,
Winnipeg,49.53,-97.09,CITY,
Praia,14.55,-23.31,CITY,
George Town,19.2,-81.23,CITY,
Bangui,4.23,18.37,CITY,
NDjamena,12.1,14.59,CITY,
Antofagasta,-23.4,-70.23,CITY,
Hanga Roa,-27.05,-109.2,CITY,
Santiago,-33.27,-70.4,CITY,
Puerto Williams,-54.55,-67.37,CITY,
Punta Arenas,-53.1,-70.56,CITY,
Valdivia,-39.4,-73.13,CITY,
Beijing,39.55,116.26,CITY,
Harbin,45.45,126.41,CITY,
Kunming,25.04,102.41,CITY,
Shanghai,31.06,121.22,CITY,
Urumqi,43.43,87.38,CITY,
